Field	Subfield	In Records	Total
0		278	278
1		260	260
3		2	2
5		278	278
8		272	272
24		12	12
	$d		12
	$a		12
35		79	79
	$a		79
40		221	221
	$b		1
	$c		221
	$a		221
	$d		8
	$e		212
41		2	2
	$a		2
49		220	220
	$d		32
	$v		39
	$a		220
50		1	1
	$b		1
	$a		1
99		143	143
	$a		144
100		108	108
	$c		3
	$a		108
	$q		11
	$d		48
	$e		2
110		159	159
	$b		134
	$c		7
	$a		159
	$f		2
111		1	1
	$d		1
	$c		1
	$a		1
130		2	2
	$a		2
245		272	272
	$b		1
	$a		272
	$f		253
	$g		3
246		1	1
	$a		1
247		1	1
	$a		1
300		270	271
	$a		267
	$f		268
500		198	372
	$a		372
506		127	129
	$a		129
520		235	235
	$a		235
541		178	178
	$d		171
	$e		3
	$c		178
	$a		177
545		165	165
	$a		165
555		120	120
	$a		120
590		191	203
	$a		203
600		69	119
	$c		1
	$a		119
	$q		11
	$v		1
	$d		54
	$x		2
610		73	147
	$b		49
	$a		147
	$v		2
	$x		94
	$y		9
611		1	1
	$d		1
	$c		1
	$n		1
	$a		1
630		8	10
	$a		10
650		29	36
	$a		36
	$v		3
	$z		23
	$x		9
	$y		3
651		4	9
	$x		8
	$y		2
	$a		9
	$z		6
655		1	2
	$2 		2
	$a		2
700		4	5
	$d		4
	$a		5
710		4	4
	$b		5
	$a		4
856		7	7
	$y		7
	$u		7
